date,campaign,adset,ad,spend,reach,impressions,clicks,link_click,purchase,purchase_value,frequency,cpc,cpm,ctr
2026-08-27,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,4317,173,214,5,5,0,0,1.237,863,20173,2.336
2026-08-28,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,4801,214,266,9,7,0,0,1.243,533,18049,3.383
2026-08-29,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,4078,184,207,5,4,0,0,1.125,816,19700,2.415
2026-08-30,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,7419,221,254,4,4,0,0,1.149,1855,29209,1.575
2026-08-31,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,2696,69,80,1,0,0,0,1.159,2696,33700,1.25
2026-09-02,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,0,0,0,0,0,0,0,0.0,0,0,0
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-2A-2_판테놀_0808 - 사본,417,3,3,1,1,0,0,1.0,417,139000,33.333
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-2A-2_판테놀_0808 - 사본,11,1,1,0,0,0,0,1.0,0,11000,0.0
2026-08-25,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-2A-2_판테놀_0808 - 사본,144,3,4,0,0,0,0,1.333,0,36000,0.0
2026-08-27,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-2A-2_판테놀_0808 - 사본,999,32,43,0,0,0,0,1.344,0,23233,0.0
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-2A-2_판테놀_0808 - 사본,13,1,1,0,0,0,0,1.0,0,13000,0.0
2026-09-01,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-2A-2_판테놀_0808 - 사본,270,5,5,0,0,0,0,1.0,0,54000,0.0
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-2A-2_판테놀_0808 - 사본,471,8,11,0,0,0,0,1.375,0,42818,0.0
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-3A-1_약국입점_0808 - 사본,1589,56,70,4,3,0,0,1.25,397,22700,5.714
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-3A-1_약국입점_0808 - 사본,13716,340,449,16,14,0,0,1.321,857,30548,3.563
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-3A-1_약국입점_0808 - 사본,20658,543,683,15,17,0,0,1.258,1377,30246,2.196
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_1-3A-1_약국입점_0808 - 사본,2800,98,112,4,4,0,0,1.143,700,25000,3.571
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,624,13,27,4,1,0,0,2.077,156,23111,14.815
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,0,0,0,0,0,0,0,0.0,0,0,0
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,178,3,3,0,0,0,0,1.0,0,59333,0.0
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,517,21,21,0,0,0,0,1.0,0,24619,0.0
2026-08-26,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,342,12,14,0,0,0,0,1.167,0,24429,0.0
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,32,2,2,0,0,0,0,1.0,0,16000,0.0
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,23,1,1,0,0,0,0,1.0,0,23000,0.0
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,393,10,11,0,0,0,0,1.1,0,35727,0.0
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-1_메이크업지울땐_0814,4,1,1,0,0,0,0,1.0,0,4000,0.0
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-2_씻으면서급속진정_0814,3985,100,146,6,4,1,20592,1.46,664,27295,4.11
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-2_씻으면서급속진정_0814,639,20,21,0,0,0,0,1.05,0,30429,0.0
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-2_씻으면서급속진정_0814,1519,48,53,1,1,0,0,1.104,1519,28660,1.887
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-1A-2_씻으면서급속진정_0814,127,8,9,0,0,0,0,1.125,0,14111,0.0
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-2A_좁쌀여드름올킬_0814,11231,251,419,2,3,0,0,1.669,5616,26804,0.477
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-2A_좁쌀여드름올킬_0814,3531,82,131,1,1,1,37500,1.598,3531,26954,0.763
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-2A_좁쌀여드름올킬_0814,1172,64,89,4,2,0,0,1.391,293,13169,4.494
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-2A_좁쌀여드름올킬_0814,1088,45,70,0,0,0,0,1.556,0,15543,0.0
2026-08-25,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-2A_좁쌀여드름올킬_0814,140,12,12,0,0,0,0,1.0,0,11667,0.0
2026-08-26,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-2A_좁쌀여드름올킬_0814,201,4,4,0,0,0,0,1.0,0,50250,0.0
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,5248,128,159,5,3,0,0,1.242,1050,33006,3.145
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,1476,34,44,3,2,1,42240,1.294,492,33545,6.818
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,4175,128,136,5,5,0,0,1.062,835,30699,3.676
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,23092,603,728,25,23,2,81010,1.207,924,31720,3.434
2026-08-25,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,29108,779,915,34,30,2,63380,1.175,856,31812,3.716
2026-08-26,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,22119,650,772,31,26,1,42500,1.188,714,28652,4.016
2026-08-27,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,23680,750,869,28,24,0,0,1.159,846,27250,3.222
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,14625,418,485,16,16,0,0,1.16,914,30155,3.299
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,12499,347,373,11,11,0,0,1.075,1136,33509,2.949
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,23410,534,598,20,21,0,0,1.12,1170,39147,3.344
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-3A_어제레이져했는데_0814,6164,138,146,6,4,0,0,1.058,1027,42219,4.11
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-1_수분품은촉촉함_0814,48,2,2,0,0,0,0,1.0,0,24000,0.0
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-1_수분품은촉촉함_0814,15,1,1,0,0,0,0,1.0,0,15000,0.0
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-1_수분품은촉촉함_0814,0,1,1,0,0,0,0,1.0,0,0,0.0
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-1_수분품은촉촉함_0814,48,3,3,0,0,0,0,1.0,0,16000,0.0
2026-09-01,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-1_수분품은촉촉함_0814,320,7,7,0,0,0,0,1.0,0,45714,0.0
2026-09-02,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-1_수분품은촉촉함_0814,193,7,7,0,0,0,0,1.0,0,27571,0.0
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-1_수분품은촉촉함_0814,534,12,15,0,0,0,0,1.25,0,35600,0.0
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,729,19,21,0,0,0,0,1.105,0,34714,0.0
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,24,1,1,0,0,0,0,1.0,0,24000,0.0
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,0,0,0,0,0,0,0,0.0,0,0,0
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,0,0,0,0,0,0,0,0.0,0,0,0
2026-08-25,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,33,2,2,0,0,0,0,1.0,0,16500,0.0
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,6,1,1,0,0,0,0,1.0,0,6000,0.0
2026-09-02,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,34,1,1,0,0,0,0,1.0,0,34000,0.0
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-4A-2_약국입점자극제로_0814,2005,65,71,0,0,0,0,1.092,0,28239,0.0
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-1_판테놀저자극_0828,667,21,21,1,0,0,0,1.0,667,31762,4.762
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-1_판테놀저자극_0828,453,23,27,1,1,0,0,1.174,453,16778,3.704
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-1_판테놀저자극_0828,73,4,4,0,0,0,0,1.0,0,18250,0.0
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-1_판테놀저자극_0828,241,11,11,0,0,0,0,1.0,0,21909,0.0
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-1_판테놀저자극_0828,100,6,6,0,0,0,0,1.0,0,16667,0.0
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-1_판테놀저자극_0828,230,11,11,0,0,0,0,1.0,0,20909,0.0
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-2_세콜지저자극_0828,2571,81,95,1,1,0,0,1.173,2571,27063,1.053
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-2_세콜지저자극_0828,566,26,34,2,1,0,0,1.308,283,16647,5.882
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-2_세콜지저자극_0828,82,4,4,0,0,0,0,1.0,0,20500,0.0
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-2_세콜지저자극_0828,55,3,3,0,0,0,0,1.0,0,18333,0.0
2026-09-02,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-2_세콜지저자극_0828,119,1,1,0,0,0,0,1.0,0,119000,0.0
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-2_세콜지저자극_0828,2210,46,57,3,3,0,0,1.239,737,38772,5.263
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_2-8A-2_세콜지저자극_0828,10761,246,357,5,5,0,0,1.451,2152,30143,1.401
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,9386,312,425,8,6,1,127760,1.362,1173,22085,1.882
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,8825,247,332,9,9,0,0,1.344,981,26581,2.711
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,3818,102,135,2,1,0,0,1.324,1909,28281,1.481
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,6173,211,302,7,7,0,0,1.431,882,20440,2.318
2026-09-01,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,17994,446,703,17,13,0,0,1.576,1058,25596,2.418
2026-09-02,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,16503,474,670,17,11,0,0,1.414,971,24631,2.537
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,14778,473,632,5,5,0,0,1.336,2956,23383,0.791
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_2차 테스트_0814,밀크_4-1A-2_모공은깨끗하게_0828,4908,171,215,2,2,1,0,1.257,2454,22828,0.93
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,379,10,14,0,0,0,0,1.4,0,27071,0.0
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,2929,108,155,2,1,1,5880,1.435,1464,18897,1.29
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,4088,126,185,5,2,1,41440,1.468,818,22097,2.703
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,5436,162,252,8,4,0,0,1.556,680,21571,3.175
2026-08-25,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,4755,129,165,1,1,0,0,1.279,4755,28818,0.606
2026-08-26,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,3237,129,173,0,0,0,0,1.341,0,18711,0.0
2026-08-27,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,5201,171,228,3,3,0,0,1.333,1734,22811,1.316
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,562,21,24,0,0,0,0,1.143,0,23417,0.0
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,5921,152,226,5,5,0,0,1.487,1184,26199,2.212
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,5752,179,261,5,4,0,0,1.458,1150,22038,1.916
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,6811,196,328,7,6,0,0,1.673,973,20765,2.134
2026-09-01,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,3949,129,200,3,0,0,0,1.55,1316,19745,1.5
2026-09-02,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,2427,58,66,2,2,0,0,1.138,1214,36773,3.03
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,1485,62,70,2,2,0,0,1.129,742,21214,2.857
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-1_수분크림만큼촉촉_0821,0,0,0,0,0,0,0,0.0,0,0,0
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-2_감동적인보습감_0904,1474,55,63,2,2,0,0,1.145,737,23397,3.175
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1A-3_토너안발라도돼_0904,623,33,37,1,1,0,0,1.121,623,16838,2.703
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,88,6,6,0,0,0,0,1.0,0,14667,0.0
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,8,3,3,0,0,0,0,1.0,0,2667,0.0
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,354,8,12,1,1,0,0,1.5,354,29500,8.333
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,76,2,2,0,0,0,0,1.0,0,38000,0.0
2026-08-25,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,899,36,42,0,0,0,0,1.167,0,21405,0.0
2026-08-26,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,792,20,23,1,1,0,0,1.15,792,34435,4.348
2026-08-27,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,135,7,9,0,0,0,0,1.286,0,15000,0.0
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,28,1,1,0,0,0,0,1.0,0,28000,0.0
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,174,5,5,0,0,0,0,1.0,0,34800,0.0
2026-09-02,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,353,14,18,0,0,0,0,1.286,0,19611,0.0
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1B-1_수분크림만큼촉촉_0821,1039,32,33,1,1,0,0,1.031,1039,31485,3.03
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,23,1,1,0,0,0,0,1.0,0,23000,0.0
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,427,7,10,0,0,0,0,1.429,0,42700,0.0
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,10,2,2,0,0,0,0,1.0,0,5000,0.0
2026-08-26,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,26,1,1,0,0,0,0,1.0,0,26000,0.0
2026-08-28,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,851,24,34,1,1,0,0,1.417,851,25029,2.941
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,135,3,3,0,0,0,0,1.0,0,45000,0.0
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,196,8,10,0,0,0,0,1.25,0,19600,0.0
2026-08-31,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,606,17,20,0,0,0,0,1.176,0,30300,0.0
2026-09-01,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,79,2,3,0,0,0,0,1.5,0,26333,0.0
2026-09-02,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,313,10,13,1,0,0,0,1.3,313,24077,7.692
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,189,5,6,0,0,0,0,1.2,0,31500,0.0
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-1C-1_수분크림만큼촉촉_0821,520,17,19,0,0,0,0,1.118,0,27368,0.0
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,7,1,1,0,0,0,0,1.0,0,7000,0.0
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,13,2,2,0,0,0,0,1.0,0,6500,0.0
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,893,35,48,1,1,0,0,1.371,893,18604,2.083
2026-08-24,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,670,21,32,0,0,0,0,1.524,0,20938,0.0
2026-08-25,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,53,2,2,0,0,0,0,1.0,0,26500,0.0
2026-08-26,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,7,2,2,0,0,0,0,1.0,0,3500,0.0
2026-08-27,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,191,4,4,0,0,1,148750,1.0,0,47750,0.0
2026-08-29,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,959,36,45,0,0,0,0,1.25,0,21311,0.0
2026-08-30,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,432,8,9,0,0,0,0,1.125,0,48000,0.0
2026-09-01,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,74,6,6,1,0,0,0,1.0,74,12333,16.667
2026-09-03,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,146,3,6,0,0,0,0,2.0,0,24333,0.0
2026-09-04,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-2A-1_피부장벽_0821,3,1,1,0,0,0,0,1.0,0,3000,0.0
2026-08-21,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-3A-1_민감피부용_0821,200,15,15,0,0,0,0,1.0,0,13333,0.0
2026-08-22,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-3A-1_민감피부용_0821,378,26,31,0,0,0,0,1.192,0,12194,0.0
2026-08-23,구매 전환_withmaje_0808,광고세트_밀크_3차 테스트_0821,밀크_3-3A-1_민감피부용_0821,1042,55,66,1,1,0,0,1.2,1042,15788,1.515
